x÷·,y÷·,z÷·
-187.913,399.406,331.78
-187.86,399.386,331.673
-187.822,399.278,331.586
-187.952,399.41,331.695
-187.851,399.388,331.837
-187.854,399.398,331.716
-187.943,399.302,331.759
-187.9,399.455,331.662
-187.931,399.332,331.654
-188.098,399.0,331.693
-188.46,399.164,331.71
-188.592,399.235,331.484
-188.425,399.374,331.835
-188.273,399.32,332.002
-188.165,399.312,332.027
-188.116,399.453,331.998
-188.041,399.374,331.946
-188.152,399.291,331.857
-188.166,399.184,331.86
-188.209,398.939,331.918
-188.177,399.108,332.006
-188.103,399.191,332.103
-188.079,399.078,332.082
-187.809,399.294,332.101
-188.076,399.192,331.862
-188.189,399.497,331.887
-188.017,399.344,331.787
-188.086,399.268,331.847
-188.003,399.409,331.876
-188.031,399.365,331.939
-188.053,399.271,331.903
-188.178,399.32,331.987
-188.196,399.15,331.986
-188.112,399.22,332.027
-188.078,399.169,331.896
-188.06,399.11,331.704
-188.006,399.411,331.678
-187.807,399.22,331.93
-187.885,399.136,331.899
-187.908,399.164,331.833
-187.706,399.212,331.835
-187.887,399.233,331.842
-188.173,399.282,331.778
-188.092,399.133,331.87
-187.965,399.201,331.91
-188.093,399.308,331.787
-188.079,399.078,332.082
-187.809,399.294,332.101
-188.076,399.192,331.862
-188.189,399.497,331.887
-188.017,399.344,331.787
-188.086,399.268,331.847
-188.003,399.409,331.876
-188.031,399.365,331.939
-188.053,399.271,331.903
-188.178,399.32,331.987
-188.196,399.15,331.986
-188.112,399.22,332.027
-188.078,399.169,331.896
-188.06,399.11,331.704
-188.006,399.411,331.678
-187.807,399.22,331.93
-187.885,399.136,331.899
-187.908,399.164,331.833
-187.706,399.212,331.835
-187.887,399.233,331.842
-188.173,399.282,331.778
-188.092,399.133,331.87
-187.965,399.201,331.91
-188.093,399.308,331.787
-188.106,399.378,331.811
-187.911,399.416,332.0
-187.973,399.369,331.894
-187.944,399.199,331.83
-187.937,399.345,331.697
-187.985,399.366,331.808
-188.034,399.509,331.715
-187.995,399.329,331.711
-187.849,399.503,331.692
-188.034,399.39,331.679
-188.141,399.357,331.687
-188.186,399.255,331.789
-188.239,399.498,331.821
-188.192,399.389,331.862
-188.168,399.1,331.74
-188.152,399.304,331.844
-188.294,399.221,331.984
-188.246,399.251,332.0
-188.108,399.176,331.85
-188.081,399.311,331.905
-187.938,399.188,331.968
-188.027,399.329,331.852
-188.005,399.349,331.717
-188.006,399.445,331.766
-188.135,399.341,331.692
-188.036,399.309,331.806
-188.037,399.359,331.729
-187.9,399.316,331.927
-188.016,399.289,331.891
-187.907,399.263,331.804
-187.988,399.315,331.815
-188.067,399.349,331.638
-188.192,399.412,331.844
-188.027,399.287,331.855
-188.177,399.236,331.758
-187.985,399.076,331.609
-188.028,399.259,331.607
-188.156,399.497,331.691
-188.075,399.318,331.732
-187.931,399.261,331.801
-187.826,399.328,331.769
-188.114,399.376,331.823
-188.113,399.304,331.777
-188.155,399.256,331.897
-188.015,399.284,331.979
-188.097,399.385,331.916
-188.099,399.219,331.986
-188.133,399.388,331.86
-188.208,399.438,331.939
-188.112,399.485,331.822
-187.977,399.246,331.868
-188.014,399.458,331.843
-188.032,399.312,331.748
-187.969,399.423,331.629
-188.003,399.374,331.653
-188.075,399.284,331.817
-188.067,399.377,331.682
-188.069,399.415,331.701
-188.058,399.487,331.772
-187.925,399.457,331.732
-187.93,399.468,331.578
-188.034,399.583,331.75
-188.031,399.569,331.693
-188.125,399.47,331.771
-188.058,399.52,331.74
-188.123,399.309,331.811
-188.048,399.578,331.698
-188.036,399.398,331.779
-188.049,399.393,331.776
-188.148,399.288,331.692
-188.168,399.324,331.898
-187.846,399.397,331.579
-188.02,399.287,331.629
-188.126,399.368,331.7
-188.055,399.54,331.602
-188.038,399.675,331.72
-187.969,399.423,331.629
-188.003,399.374,331.653
-188.075,399.284,331.817
-188.067,399.377,331.682
-188.069,399.415,331.701
-188.058,399.487,331.772
-187.925,399.457,331.732
-187.93,399.468,331.578
-188.034,399.583,331.75
-188.031,399.569,331.693
-188.125,399.47,331.771
-188.058,399.52,331.74
-188.123,399.309,331.811
-188.048,399.578,331.698
-188.036,399.398,331.779
-188.049,399.393,331.776
-188.148,399.288,331.692
-188.168,399.324,331.898
-187.846,399.397,331.579
-188.02,399.287,331.629
-188.126,399.368,331.7
-188.055,399.54,331.602
-188.038,399.675,331.72
-188.016,399.651,331.949
-188.051,399.45,331.899
-188.144,399.618,331.775
-188.073,399.473,331.837
-188.054,399.407,331.766
-187.934,399.657,331.651
-187.983,399.623,331.65
-188.05,399.536,331.678
-188.188,399.368,331.635
-188.171,399.225,331.649
-188.16,399.218,331.706
-188.052,399.333,331.904
-187.932,399.332,331.86
-187.987,399.341,331.739
-188.246,399.407,331.981
-188.25,399.246,331.985
-188.163,399.405,331.974
-188.256,399.296,332.064
-188.1,399.223,331.955
-188.105,399.353,331.981
-188.297,399.372,331.8
-188.228,399.43,331.791
-188.005,399.46,331.874
-188.117,399.296,331.819
-188.151,399.543,331.825
-188.054,399.6,331.831
-188.253,399.477,331.815
-188.148,399.285,331.895
-188.029,399.333,331.893
-188.098,399.39,331.863
-187.993,399.433,331.674
-187.942,399.445,331.644
-188.043,399.286,331.599
-187.963,399.472,331.59
-188.213,399.563,331.607
-188.024,399.476,331.527
-188.07,399.64,331.599
-187.898,399.463,331.579
-187.779,399.377,331.713
-187.859,399.329,331.723
-187.725,399.314,331.657
-187.908,399.331,331.941
-187.929,399.619,331.802
-187.889,399.443,331.76
-187.851,399.358,331.771
-187.896,399.487,331.602
-188.027,399.56,331.578
-188.05,399.482,331.573
-188.009,399.505,331.618
